"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SVK","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",6747.046,
"SVK","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"ESP","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",7814.178,
"ESP","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",8189.12,
"ESP","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"SWE","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",11007.049,
"SWE","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",11052.222,
"SWE","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"CHE","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",,"M"
"CHE","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",,"M"
"CHE","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"TUR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",3559.891,
"TUR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",3714.814,
"TUR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"GBR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",11874.896,
"GBR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",11028.059,
"GBR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"USA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",12175.709,
"USA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",12424.258,
"USA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"ARG","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",4057.647,
"ARG","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",,"M"
"ARG","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"BRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",3173.559,
"BRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",3199.309,
"BRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"CHL","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",4166.666,
"CHL","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",4227.074,
"CHL","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",4996.339,
"COL","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",2777.741,
"COL","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",2937.865,
"COL","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",2987.19,
"EST","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",6435.815,
"EST","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",6663.268,
"EST","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"IDN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",,"M"
"IDN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",1479.537,
"IDN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"ISR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",7301.94,
"ISR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",,"M"
"ISR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"LVA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",6630.963,
"LVA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",6824.183,
"LVA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"RUS","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",5001.486,
"RUS","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",4472.609,
"RUS","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"SVN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",8875.089,
"SVN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",8405.963,
"SVN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"GRC","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",6191.805,
"GRC","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",6190.681,
"GRC","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"CHN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",,"M"
"CHN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",,"M"
"CHN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"IND","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",,"M"
"IND","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",,"M"
"IND","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"SAU","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",,"M"
"SAU","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",,"M"
"SAU","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"LTU","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",5383.433,
"LTU","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",5291.574,
"LTU","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"CRI","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",,"M"
"CRI","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",,"M"
"CRI","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"ZAF","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",,"M"
"ZAF","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",,"M"
"ZAF","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
